ano,trimestre,mes,nivel,ano_mes,faturamento,pedidos,ticket_medio
2016,3T,Setembro,Mês,2016-09,207.86,2,103.93
Total 3T2016,3T,,Trimestre,,207.86,2,103.93
2016,4T,Outubro,Mês,2016-10,46514.99,296,157.15
2016,4T,Dezembro,Mês,2016-12,10.90,1,10.90
Total 4T2016,4T,,Trimestre,,46525.89,297,156.65
Total 2016,,,Ano,,46733.75,299,156.30
2017,1T,Janeiro,Mês,2017-01,120098.27,787,152.60
2017,1T,Fevereiro,Mês,2017-02,244959.35,1718,142.58
2017,1T,Março,Mês,2017-03,368341.32,2617,140.75
Total 1T2017,1T,,Trimestre,,733398.94,5122,143.19
2017,2T,Abril,Mês,2017-04,353842.98,2377,148.86
2017,2T,Maio,Mês,2017-05,503159.19,3640,138.23
2017,2T,Junho,Mês,2017-06,429916.61,3205,134.14
Total 2T2017,2T,,Trimestre,,1286918.78,9222,139.55
2017,3T,Julho,Mês,2017-07,492287.30,3946,124.76
2017,3T,Agosto,Mês,2017-08,568245.79,4272,133.02
2017,3T,Setembro,Mês,2017-09,621415.91,4227,147.01
Total 3T2017,3T,,Trimestre,,1681949.00,12445,135.15
2017,4T,Outubro,Mês,2017-10,660179.62,4547,145.19
2017,4T,Novembro,Mês,2017-11,1003862.14,7421,135.27
2017,4T,Dezembro,Mês,2017-12,742183.79,5618,132.11
Total 4T2017,4T,,Trimestre,,2406225.55,17586,136.83
Total 2017,,,Ano,,6108492.27,44375,137.66
2018,1T,Janeiro,Mês,2018-01,945456.29,7187,131.55
2018,1T,Fevereiro,Mês,2018-02,837895.43,6624,126.49
2018,1T,Março,Mês,2018-03,981051.06,7168,136.87
Total 1T2018,1T,,Trimestre,,2764402.78,20979,131.77
2018,2T,Abril,Mês,2018-04,993592.98,6919,143.60
2018,2T,Maio,Mês,2018-05,992871.75,6833,145.31
2018,2T,Junho,Mês,2018-06,863265.53,6145,140.48
Total 2T2018,2T,,Trimestre,,2849730.26,19897,143.22
2018,3T,Julho,Mês,2018-07,878044.27,6233,140.87
2018,3T,Agosto,Mês,2018-08,848860.10,6421,132.20
2018,3T,Setembro,Mês,2018-09,145.00,1,145.00
Total 3T2018,3T,,Trimestre,,1727049.37,12655,136.47
Total 2018,,,Ano,,7341182.41,53531,137.14
Total geral,,,Geral,,13496408.43,98205,137.43
