regiao,estado,faturamento,pedidos,ticket_medio,participacao_pct
Centro-Oeste,DF,300886.45,2120,141.93,2.23
Centro-Oeste,GO,287870.46,1998,144.08,2.13
Centro-Oeste,MT,156313.53,902,173.30,1.16
Centro-Oeste,MS,116754.65,708,164.91,0.87
Centro-Oeste,(subtotal),861825.09,5728,150.46,6.39
Nordeste,BA,507108.83,3344,151.65,3.76
Nordeste,PE,261739.94,1643,159.31,1.94
Nordeste,CE,226264.06,1323,171.02,1.68
Nordeste,MA,119291.62,736,162.08,0.88
Nordeste,PB,114874.10,531,216.34,0.85
Nordeste,PI,86660.09,490,176.86,0.64
Nordeste,RN,83034.98,482,172.27,0.62
Nordeste,AL,80314.81,411,195.41,0.60
Nordeste,SE,58920.85,345,170.79,0.44
Nordeste,(subtotal),1538209.28,9305,165.31,11.40
Norte,PA,178821.12,969,184.54,1.32
Norte,TO,49407.99,278,177.73,0.37
Norte,RO,46031.64,246,187.12,0.34
Norte,AM,22356.84,147,152.09,0.17
Norte,AC,15982.95,81,197.32,0.12
Norte,AP,13474.30,68,198.15,0.10
Norte,RR,7739.44,45,171.99,0.06
Norte,(subtotal),333814.28,1834,182.01,2.47
Sudeste,SP,5165166.12,41128,125.59,38.27
Sudeste,RJ,1811923.32,12698,142.69,13.43
Sudeste,MG,1573667.19,11497,136.88,11.66
Sudeste,ES,273532.13,2018,135.55,2.03
Sudeste,(subtotal),8824288.76,67341,131.04,65.38
Sul,RS,742809.68,5416,137.15,5.50
Sul,PR,676883.06,4982,135.87,5.02
Sul,SC,518578.28,3599,144.09,3.84
Sul,(subtotal),1938271.02,13997,138.48,14.36
Total geral,(subtotal),13496408.43,98205,137.43,100.00
