categoria,categoria_en,faturamento,itens_vendidos,pedidos,ticket_medio,participacao_pct
Beleza Saude,Health Beauty,770002.81,5924,5375,143.26,10.49
Relogios Presentes,Watches Gifts,708305.95,3695,3485,203.24,9.65
Cama Mesa Banho,Bed Bath Table,537514.13,5873,4898,109.74,7.32
Esporte Lazer,Sports Leisure,530182.18,4503,4035,131.40,7.22
Informatica Acessorios,Computers Accessories,502432.09,4683,4030,124.67,6.84
Utilidades Domesticas,Housewares,397688.06,4020,3399,117.00,5.42
Moveis Decoracao,Furniture Decor,385312.01,4098,3186,120.94,5.25
Automotivo,Auto,346632.44,2610,2448,141.60,4.72
Bebes,Baby,256086.70,1761,1656,154.64,3.49
Cool Stuff,Cool Stuff,230752.41,1466,1409,163.77,3.14
