posicao,seller_id,cidade,estado,faturamento,pedidos,itens,ticket_medio,participacao_pct,participacao_acumulada_pct
1,4869f7a5dfa277a7dca6462dcf3b52b2,Guariba,SP,229237.63,1131,1155,202.69,1.70,1.70
2,53243585a1d6dc2643021fd1853d8905,Lauro de Freitas,BA,222776.05,358,410,622.28,1.65,3.35
3,4a3ca9315b744ce9f8e9374361493884,Ibitinga,SP,200326.12,1804,1985,111.05,1.48,4.83
4,fa1c13f2614d7b5c4749cbc52fecda94,Sumare,SP,192842.13,584,585,330.21,1.43,6.26
5,7c67e1448b00f6e969d365cea6b010ab,Itaquaquecetuba,SP,187923.89,982,1364,191.37,1.39,7.65
6,7e93a43ef30c4f03f38b393420bc753a,Barueri,SP,172583.88,332,336,519.83,1.28,8.93
7,da8622b14eb17ae2831f4ac5b9dab84a,Piracicaba,SP,160236.57,1314,1551,121.95,1.19,10.12
8,7a67c85e85bb2ce8582c35f2203ad736,Sao Paulo,SP,141715.54,1159,1170,122.27,1.05,11.17
9,1025f0e2d44d7041d6cf58b6550e0bfa,Sao Paulo,SP,138968.55,915,1428,151.88,1.03,12.20
10,955fee9216a65b617aa5c0531780ce60,Sao Paulo,SP,135159.70,1286,1498,105.10,1.00,13.20
