regiao,estado,pedidos_entregues,prazo_medio_dias,prazo_estimado_medio_dias,desvio_medio_vs_estimado_dias,taxa_atraso_pct
Centro-Oeste,MT,886,18.0,32.4,-14.4,5.98
Centro-Oeste,GO,1957,15.5,27.7,-12.2,6.54
Centro-Oeste,MS,701,15.5,26.6,-11.1,9.70
Centro-Oeste,DF,2080,12.9,24.9,-12.0,5.67
Centro-Oeste,(subtotal),5624,15.0,27.3,-12.3,6.53
Nordeste,AL,397,24.5,33.2,-8.7,21.41
Nordeste,MA,717,21.5,31.1,-9.6,17.43
Nordeste,SE,335,21.5,31.5,-10.0,15.22
Nordeste,CE,1279,21.2,32.0,-10.8,13.76
Nordeste,PB,517,20.4,33.6,-13.3,10.44
Nordeste,PI,476,19.4,30.7,-11.3,13.87
Nordeste,BA,3256,19.3,30.1,-10.8,12.16
Nordeste,RN,474,19.2,32.9,-13.6,9.28
Nordeste,PE,1593,18.4,31.7,-13.3,9.60
Nordeste,(subtotal),9044,19.9,31.3,-11.3,12.72
Norte,RR,41,29.3,46.6,-17.3,12.20
Norte,AP,67,27.2,46.9,-19.7,2.99
Norte,AM,145,26.4,45.9,-19.6,2.76
Norte,PA,946,23.7,37.8,-14.1,11.21
Norte,AC,80,21.0,41.7,-20.7,3.75
Norte,RO,243,19.3,39.4,-20.1,2.88
Norte,TO,274,17.6,29.7,-12.1,9.85
Norte,(subtotal),1796,22.5,38.1,-15.6,8.57
Sudeste,ES,1995,15.7,26.2,-10.5,10.73
Sudeste,RJ,12353,15.2,27.0,-11.8,12.10
Sudeste,MG,11355,11.9,25.2,-13.2,4.58
Sudeste,SP,40495,8.7,19.8,-11.1,4.49
Sudeste,(subtotal),66198,10.7,22.2,-11.6,6.12
Sul,RS,5344,15.2,29.2,-13.9,6.08
Sul,SC,3547,14.9,26.4,-11.5,8.20
Sul,PR,4923,11.9,25.3,-13.3,4.04
Sul,(subtotal),13814,14.0,27.1,-13.1,5.90
Total geral,(subtotal),96476,12.5,24.4,-11.9,6.77
