categoria,itens,valor_itens,valor_frete,participacao_frete_pct,frete_medio_por_item
Eletronicos,2756,158278.54,46366.01,22.66,16.82
Moveis Sala,501,68638.56,17918.74,20.70,35.77
Moveis Escritorio,1690,273580.70,68492.32,20.02,40.53
Alimentos,509,29243.51,7253.27,19.87,14.25
Moveis Decoracao,8298,727465.05,172894.98,19.20,20.84
Utilidades Domesticas,6915,626825.80,146130.38,18.91,21.13
Telefonia,4527,322342.64,70963.38,18.04,15.68
Malas Acessorios,1088,140111.38,30392.71,17.83,27.93
Fashion Bolsas e Acessorios,2025,151622.75,31312.01,17.12,15.46
Ferramentas Jardim,4328,481009.94,98723.69,17.03,22.81
