ano_mes,pedidos,pedidos_cancelados,taxa_cancelamento_pct,pedidos_indisponiveis
2016-09,4,2,50.00,0
2016-10,324,24,7.41,7
2016-12,1,0,0.00,0
2017-01,800,3,0.38,10
2017-02,1780,17,0.96,45
2017-03,2682,33,1.23,32
2017-04,2404,18,0.75,9
2017-05,3700,29,0.78,31
2017-06,3245,16,0.49,24
2017-07,4026,28,0.70,52
2017-08,4331,27,0.62,32
2017-09,4285,20,0.47,38
2017-10,4631,26,0.56,58
2017-11,7544,37,0.49,84
2017-12,5673,11,0.19,42
2018-01,7269,34,0.47,48
2018-02,6728,73,1.09,30
2018-03,7211,26,0.36,17
2018-04,6939,15,0.22,5
2018-05,6873,24,0.35,16
2018-06,6167,18,0.29,4
2018-07,6292,41,0.65,18
2018-08,6512,84,1.29,7
2018-09,16,15,93.75,0
2018-10,4,4,100.00,0
