estado,regiao,vendedores,pct_vendedores,faturamento,pct_faturamento,pedidos
SP,Sudeste,1849,59.74,8687874.35,64.37,70618
PR,Sul,349,11.28,1256874.01,9.31,7691
MG,Sudeste,244,7.88,1001944.76,7.42,7892
SC,Sul,190,6.14,625201.96,4.63,3655
RJ,Sudeste,171,5.53,838016.17,6.21,4334
RS,Sul,129,4.17,377726.85,2.80,1985
GO,Centro-Oeste,40,1.29,66251.72,0.49,460
DF,Centro-Oeste,30,0.97,97100.48,0.72,821
ES,Sudeste,23,0.74,47689.61,0.35,318
BA,Nordeste,19,0.61,285332.57,2.11,567
CE,Nordeste,13,0.42,20240.64,0.15,91
PE,Nordeste,9,0.29,91463.95,0.68,405
PB,Nordeste,6,0.19,17095.00,0.13,36
RN,Nordeste,5,0.16,9992.60,0.07,51
MS,Centro-Oeste,5,0.16,8551.69,0.06,49
MT,Centro-Oeste,4,0.13,17070.72,0.13,137
RO,Norte,2,0.06,4762.20,0.04,14
SE,Nordeste,2,0.06,1606.20,0.01,9
MA,Nordeste,1,0.03,36408.95,0.27,392
PI,Nordeste,1,0.03,2522.00,0.02,12
PA,Norte,1,0.03,1238.00,0.01,8
AM,Norte,1,0.03,1177.00,0.01,3
AC,Norte,1,0.03,267.00,0.00,1
